Name of Entity,Start Date of Breach,Individuals Affected,State Reported,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Details,End Date of Breach,Entity Type,Industry,Link to PDF,Location of Breached Information,Parent Company,Reported Date,Type of Breach,Website
 ,7/4-7/6/17,2.0,['Maine'],UNK,2017-09-22 00:00:00,,7/4-7/6/17,,,,,,,,,7,
 alberta ltd.,2017-09-21 00:00:00,1.0,['Maryland'],UNK,,,9/21/2017,,,,,,,,,1,
 c museum hotels,2017-07-11 00:00:00,25.0,['Maryland'],UNK,,,7/11/2017,,,,Hotel,,,AccorHotels,,1,www.21cmuseumhotels.com
" hertzbach & company, p.a.                                         ",2017-01-30 00:00:00,1.0,['Maine'],UNK,2017-03-20 00:00:00,,2017-01-30 00:00:00,,,,,,,,,7,
" mortgage group, llc",2018-06-19 00:00:00,2.0,['Maryland'],UNK,,,6/19/2018,,,,Automotive,,,Independent (1925–1998) DaimlerChrysler (1998–2007) Chrysler LLC (2007–2009) Chrysler Group LLC (2009–2014) Fiat Chrysler Automobiles (2014–present),,1,fcagroup.com
" ontario, inc.",2016-06-01 00:00:00,74548.0,['Indiana'],UNK,2018-11-30 00:00:00,,2016-06-01 00:00:00,,,,,,,,,7,
" ontario, inc.",2018-06-01 00:00:00,,['California'],UNK,,,06/01/2018,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-142249,,,2018-11-30 00:00:00,7,
" ontario, inc.",2018-11-30 00:00:00,270.0,['Maryland'],UNK,,,11/30/2018,,,,,,,,,1,
" ontario, inc.",6/1/16,74548.0,['Maine'],UNK,11/30/18,10/30/18,6/1/16,,,Other Commercial ,,,,,,7,
" ontario, inc. (ontario),     ",2018-12-03 00:00:00,,['New Hampshire'],UNK,,,"December 03, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/ontario-20181205.pdf,,,,7,
 pnc,2015-10-07 00:00:00,7.0,['Maryland'],UNK,,,10/7/2015,,,,BankingFinancial services,,,,,1,www.pnc.com
 pnc,related to Anthem's breach (Anthem processed claims for one of PNC's medical carriers),,['Maine'],UNK,2015-02-20 00:00:00,,related to Anthem's breach (Anthem processed claims for one of PNC's medical carriers),,,,BankingFinancial services,,,,,7,www.pnc.com
"#1 a lifesafer of maryland, llc",2016-01-26 00:00:00,2.0,['Maryland'],UNK,,,1/26/2016,,,,,,,,,1,
",000 digital certificate private keys compromised",2018-03-02 00:00:00,,['New Jersey'],UNK,,,"MARCH 2, 2018",,,,,,,,,7,
",844 new es containing over 80 million records discovered",2018-03-12 00:00:00,,['New Jersey'],UNK,,,"MARCH 12, 2018",,,,Retail,,,,,7,Target.com
"<a href=""http://www.padlocks4less.com"">www.padlocks4less.com</a>",2015-09-23 00:00:00,14.0,['Maryland'],UNK,,,9/23/2015,,,,,,,,,1,
"<a href=""http://www.shorepowerinc.com"">www.shorepowerinc.com</a>",2015-07-29 00:00:00,,['Maryland'],UNK,,,7/29/2015,,,,,,,,,1,
"<a href=""http://www.woodstore.net"">www.woodstore.net</a>",2017-06-26 00:00:00,,['Maryland'],UNK,,,6/26/2017,,,,,,,,,1,
[none named],a,,['Wisconsin'],UNK,,,,,,,,,,,,7,
a,"August 5, 2016 through November 16, 2018.",70244.0,['Maine'],UNK,2018-12-31 00:00:00,"December 20, 2018","August 5, 2016 through November 16, 2018.",,,Other Commercial ,,,,,,7,
a,a,,['Maine'],UNK,a,a,a,,,Other Commercial ,,,,,,1,
"a&a global imports, inc.",2017-08-15 00:00:00,,['Washington'],UNK,,,08/15/2017 to 01/04/2019,,2019-01-04 00:00:00,,Distilled beverages,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/AandAGlobalImportsInc.2019-01-09.pdf,,Suntory,2019-01-09 00:00:00,7,www.beamsuntory.com
"a&a global imports, inc.",2019-01-09 00:00:00,,['New Hampshire'],UNK,,,"January 9, 2019",,,,Distilled beverages,https://www.doj.nh.gov/consumer/security-breaches/documents/ez-up-20190111.pdf,,Suntory,,7,www.beamsuntory.com
