Name of Entity,Start Date of Breach,Individuals Affected,State Reported,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Industry,Parent Company,Website,End Date of Breach,Link to PDF,Location of Breached Information,Reported Date,Type of Breach,Source(s)
,,,{'New Hampshire'},UNK,,,,,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/ppi-20181004.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
,Not Specified,,{'Vermont'},UNK,2018-10-05 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/10/05/notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"#1 A Lifesafer Of Montana, Inc. (lifesafer)",2015-12-01 00:00:00,1.0,{'Montana'},UNK,,,12/1/2015-1/25/2016,,,,2016-01-25, https://media.dojmt.gov/wp-content/uploads/LifeSafer.pdf ,,2016-01-26,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
",000 Digital Certificate Private Keys Compromised",2018-03-02 00:00:00,,{'New Jersey'},UNK,,,"MARCH 2, 2018",,,,,,,,7,"{'{\'{""{\\\'https://www.cyber.nj.gov/data-breach-notifications/\\\'}""}\'}'}"
",844 New Es Containing Over 80 Million Records Discovered",2018-03-12 00:00:00,,{'New Jersey'},UNK,,,"MARCH 12, 2018",,,,,,,,7,"{'{\'{""{\\\'https://www.cyber.nj.gov/data-breach-notifications/\\\'}""}\'}'}"
A C T Services Inc,2016-09-01 00:00:00,428.0,{'Indiana'},UNK,2016-12-20,,2016-09-01 00:00:00,Telecommunications Technology Mass media Entertainment,,.att.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
A S K Services Inc,2018-01-24 00:00:00,229.0,{'Indiana'},UNK,2018-01-25,,2018-01-24 00:00:00,Service,Cintas(2017–present)[3],www.gkservices.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
A&a Global Imports,Not Specified,,{'Vermont'},UNK,2019-01-09 00:00:00,,,,,,,https://ago.vermont.gov/blog/2019/01/09/aa-global-imports-notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"A&a Global Imports, Inc.,",2019-01-09 00:00:00,,{'New Hampshire'},"['license', 'name', 'credit card', 'payment', 'financial', 'expiration date', 'address']",,,"January 9, 2019",Distilled beverages,Suntory,www.beamsuntory.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/ez-up-20190111.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"A&a Global Imports, Inc.,",2017-08-15 00:00:00,456.0,"{'Montana', 'Washington'}","['name', 'credit card', 'expiration date', 'password', 'username', 'email', 'phone number', 'address', 'insurance']",,,08/15/2017 to 01/04/2019,Distilled beverages,Suntory,www.beamsuntory.com,2019-01-04 00:00:00,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/AandAGlobalImportsInc.2019-01-09.pdf,,2019-01-09 00:00:00,1,"{""{'https://www.atg.wa.gov/data-breach-notifications'}"", '{""{\'https://www.atg.wa.gov/data-breach-notifications\'}"", \'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"A&a Global Imports, Inc.,",a,,{'Oregon'},UNK,2019-01-09 00:00:00,,,Distilled beverages,Suntory,www.beamsuntory.com,,,,2019-01-14 00:00:00,7,"{'{\'https://justice.oregon.gov/consumer/DataBreach/Home/\', ""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}'}"
"A&a Ready Mixed Concrete, Inc.",2016-05-16 00:00:00,,{'California'},UNK,,,05/16/2016,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-61962,,2016-05-24,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"A's Benefits,",2018-12-31 00:00:00,,{'New Hampshire'},UNK,,,"December 31, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/4as-benefits-20181231.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"A's Benefits,",2017-12-06 00:00:00,4711.0,"{'Indiana', 'Montana'}",UNK,,,12/6/2017-12/12/2017,,,,2017-12-12, https://media.dojmt.gov/wp-content/uploads/4As-Benefits.pdf ,,2018-12-26,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}"", \\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"A's Benefits,",Not Specified,,{'Vermont'},UNK,2018-12-26 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/12/26/4as-benefits-notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"A.w. Hastings & Co., Llc",2011-12-08 00:00:00,,{'New Hampshire'},UNK,,,"December 08, 2011",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/aw-hastings-20111208.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Aaa Business Supplies,2018-04-08 00:00:00,,{'California'},UNK,,,04/08/2018,Aerospace,ST Engineering,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-137064,,2018-06-13,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Aacorthodontics Pc,2016-09-07 00:00:00,9.0,{'Indiana'},UNK,2016-09-13,,2016-09-07 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Aaron J Butler Attorneyat Law,2017-06-22 00:00:00,303.0,{'Indiana'},UNK,2017-07-14,,2017-06-22 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Aaron's,",2011-10-18 00:00:00,,{'New Hampshire'},UNK,,,October 18 2011,,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/aarons-20111018.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Ab Acquisition Llc,Not Specified,,{'Iowa'},UNK,,,,Retail / Grocery,,www.albertsons.com,,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_AB_Acquisition_LLC_14C86B485FD56.pdf,,2014,7,{'https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/'}
Ab Acquisition Llc (shaw's),2014-08-15 00:00:00,,{'New Hampshire'},UNK,,,"August 15, 2014",Retail / Grocery,,www.albertsons.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140815.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Ab Acquisition Llc (shaw's),2014-08-29 00:00:00,,{'New Hampshire'},UNK,,,"August 29, 2014",Retail / Grocery,,www.albertsons.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140829.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Ab Acquisition Llc (shaw's),2014-09-29 00:00:00,,{'New Hampshire'},UNK,,,"September 29, 2014",Retail / Grocery,,www.albertsons.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140929.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Abb,2017-08-25 00:00:00,3.0,{'Montana'},UNK,,,8/25/2017-8/25/2017,Electrical equipment,,www.abb.com,2017-08-25, https://media.dojmt.gov/wp-content/uploads/ABB.pdf ,,2017-09-18,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Abb, Inc.,",2017-09-11 00:00:00,,{'New Hampshire'},"['social security number', 'license', 'name', 'date of birth', 'email', 'address', 'medical']",,,"September 11, 2017",Biopharmaceutical,,abbvie.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/abb-20170911.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Abb, Inc.,",2016-02-05 00:00:00,566.0,{'Indiana'},UNK,2016-03-17,,2016-02-05 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Abb, Inc.,",2017-08-25 00:00:00,28012.0,"{'Indiana', 'California'}",UNK,2017-09-11,,2017-08-25 00:00:00,Biopharmaceutical,,abbvie.com,,,,,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\', ""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Abbott Laboratories,",2019-02-05 00:00:00,,{'New Hampshire'},UNK,,,"February 5, 2019",Health care,,www.abbott.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-laboratories-20190205.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Abbott Laboratories,",2014-12-01 00:00:00,,{'California'},UNK,,,12/01/2014,Health care,,www.abbott.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-49420,,2015-04-17,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Abbott Laboratories,",2016-06-22 00:00:00,1.0,{'Indiana'},UNK,2016-07-19,,2016-06-22 00:00:00,Health care,,www.abbott.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Abbott Laboratories,",2019-01-09 00:00:00,9.0,{'Montana'},UNK,,,1/9/2019-1/19/2019,Health care,,www.abbott.com,2019-01-19, https://media.dojmt.gov/wp-content/uploads/Abbott-Laboratories.pdf ,,2019-02-06,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Abbott Laboratories,",2019-01-19 00:00:00,,{'California'},UNK,,,01/19/2019,Health care,,www.abbott.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-144435,,2019-02-05,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Abbott Laboratories,",Not Specified,,{'Vermont'},UNK,2019-02-05 00:00:00,,,Health care,,www.abbott.com,,https://ago.vermont.gov/blog/2019/02/05/abbott-laboratories-notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"Abbott Medical Optics Inc.,",2010-02-01 00:00:00,,{'New Hampshire'},UNK,,,"February 01, 2010",Ophthalmology,Johnson & Johnson,inc.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-medical-20100201.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Abbott Nutrition,2017-02-23 00:00:00,,{'New Hampshire'},UNK,,,"February 23, 2017",Health care,,www.abbott.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-nutition-20170223.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Abbott Nutrition,2013-06-01 00:00:00,193.0,"{'Montana', 'Washington'}",UNK,,,06/2013 to 12/2016,Health care,,www.abbott.com,2016-12-01 00:00:00,https://agportal-s3bucket.s3.amazonaws.com/Breach%20Abbott%20Nutrition%202017-02-23.pdf,,2017-02-23 00:00:00,7,"{""{'https://www.atg.wa.gov/data-breach-notifications'}"", '{""{\'https://www.atg.wa.gov/data-breach-notifications\'}"", \'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Abbott Nutrition,Not Specified,,{'Iowa'},UNK,,,,Health care,,www.abbott.com,,https://www.iowaattorneygeneral.gov/media/cms/Abbott_Nutrition_9EA21977867F6.pdf,,2017-02-23 00:00:00,7,{'https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/'}
Abbott Nutrition,a,,{'Oregon'},UNK,2017-02-23 00:00:00,2017-02-06 00:00:00,,Health care,,www.abbott.com,,,,2017-02-24 00:00:00,7,"{'{\'https://justice.oregon.gov/consumer/DataBreach/Home/\', ""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}'}"
"Abc Bus Companies, Inc.,",2018-03-02 00:00:00,,{'New Hampshire'},"['name', 'email', 'address']",,,March 02. 2018,,FirstGroup,www.greyhound.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-bus-20180302.pdf,,,2,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Abc Bus Companies, Inc.,",2018-02-16 00:00:00,741.0,{'Indiana'},UNK,2018-03-02,,2018-02-16 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Abc Carpet And Home,",2017-10-09 00:00:00,,{'New Hampshire'},"['name', 'credit card', 'debit card', 'expiration date', 'password', 'email', 'address', 'insurance']",,,"October 09, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-carpet-home-20171009.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Abc Carpet And Home,",2017-01-02 00:00:00,6.0,{'Montana'},UNK,,,1/2/2017-8/9/2017,,,,2017-08-09, https://media.dojmt.gov/wp-content/uploads/ABC-Carpet-and-Home.pdf ,,2017-10-09,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Abc Phones Of North Carolina, Inc. Dba Victra,",2018-04-13 00:00:00,,{'New Hampshire'},"['social security number', 'license', 'name', 'date of birth', 'financial', 'password', 'email', 'address']",,,"April 13, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/abc-phones-20180413.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Abel Womack,",2016-03-09 00:00:00,,{'New Hampshire'},UNK,,,"March 09, 2016",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/abel-womack-20160309.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Abeles & Hoffman, Pc,",2018-02-13 00:00:00,,{'New Hampshire'},"['name', 'financial', 'email', 'insurance']",,,"February 13, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/abeles-20180213.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Abeles Hoffman,2017-09-26 00:00:00,237.0,{'Indiana'},UNK,2018-02-13,,2017-09-26 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Abercrombie & Fitch,",2015-04-15 00:00:00,,{'New Hampshire'},UNK,,,"April 15, 2015",Retail,,abercrombie.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/abercrombie-fitch-20150415.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Abilene Telco Fcu,",2011-10-10 00:00:00,,{'New Hampshire'},UNK,,,"October 10, 2011",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/abilene-telco-fcu-20111010.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Abm Industries,2017-08-01 00:00:00,47.0,{'Montana'},UNK,,,8/1/2017-8/1/2017,Facility services,,ABM.com,2017-08-01, https://media.dojmt.gov/wp-content/uploads/Food-Industry-Self-Insurance-Fund.pdf ,,2018-03-08,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Abm Industries Inc.,2017-11-14 00:00:00,,{'New Hampshire'},"['license', 'name', 'financial', 'email', 'address']",,,"November 14, 2017",Facility services,,ABM.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20171114.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Abm Industries Inc.,2018-03-08 00:00:00,,{'New Hampshire'},"['license', 'name', 'financial', 'email', 'address', 'medical', 'insurance']",,,"March 08, 2018",Facility services,,ABM.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20180308.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Abm Industries Inc.,Not Specified,,{'Vermont'},UNK,2017-11-14 00:00:00,,,Facility services,,ABM.com,,https://ago.vermont.gov/blog/2017/11/14/abm-industries-inc-sbn-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
Abm Industries Incorporated,2015-12-10 00:00:00,121.0,{'Indiana'},UNK,2016-06-20,,2015-12-10 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Abm Industries Incorporated,2017-07-07 00:00:00,,"{'California', 'Oregon'}",UNK,2017-11-13 00:00:00,"Tuesday, August 1, 2017
Tuesday, October 17, 2017",7/7/2017,Facility services,,ABM.com,,,,2017-11-14 00:00:00,7,"{""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}"", '{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}"", \'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Abm Industries Incorporated,2018-01-08 00:00:00,3.0,"{'California', 'Oregon', 'Montana'}",UNK,2017-11-13 00:00:00,"Tuesday, August 1, 2017
Tuesday, October 17, 2017",1/8/2018 - 8/7/2018,Facility services,,ABM.com,2018-08-07 00:00:00,,,2019-03-12 00:00:00,7,"{'{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}"", \'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\', ""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}""}"
Abm Industries Incorporated,Not Specified,,{'Vermont'},UNK,2018-03-08 00:00:00,,,Facility services,,ABM.com,,https://ago.vermont.gov/blog/2018/03/08/abm-industries-incorporated-notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
Abm Industries Incorporated,Unspecified,,{'Washington'},"['license', 'name', 'date of birth', 'financial', 'email', 'address', 'medical']",,,Unspecified,Facility services,,ABM.com,,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/ABMIndustriesIncorporated.2018-03-08.pdf,,2018-03-08 00:00:00,1,"{'{""{\'https://www.atg.wa.gov/data-breach-notifications\'}"", \'https://www.atg.wa.gov/data-breach-notifications\'}'}"
Abm Parking Services,2014-09-29 00:00:00,,{'California'},UNK,,,"09/29/2014, 11/18/2014",Facility services,,ABM.com,2014-11-18,https://oag.ca.gov/ecrime/databreach/reports/sb24-47710,,2014-12-12,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Abnbfederal Credit Union,2017-01-12 00:00:00,293.0,{'Indiana'},UNK,2017-01-24,,2017-01-12 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
