Date Notice Provided to Consumers,Dates of Breach,Name of Entity,Individuals Affected,State Reported,Source(s),Start Date of Breach
2016-03-08,2016-02-15,      Flowerscom ,Unknown (120.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-15
2016-03-04,2015-10-03,  st Century Oncology ,2213597.0 (13329.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-10-03
2016-06-07,2016-04-25,  th Parallel Properties ,120.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-25
2016-04-07,2016-03-30, CPackaging Inc ,232.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-30
2016-08-09,2016-06-13,  Eleven Inc ,7832.0 (5.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-13
2016-12-20,2016-09-01,A  C  T  Services  Inc  ,428.0 (428.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-01
2016-09-13,2016-09-07,AACOrthodontics PC ,9.0 (9.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-09-07
2016-03-17,2016-02-05,ABBInc ,566.0 (4.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-05
2016-07-19,2016-06-22,Abbott Laboratories ,1.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-22
2016-06-20,2015-12-10,ABMIndustries Incorporated ,121.0 (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2015-12-10
2016-05-20,2016-03-18,ABRHLLC ,Unknown (Unknown in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-18
2016-08-04,2016-04-22,Academyof Nutrition Dietetics ,665.0 (9.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-22
2016-04-25,2016-03-22,Acceptance Insurance ,Unknown (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-22
2016-11-23,,Access Group Inc  ,Unknown (1.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-08-09,2016-06-10,Actagro LLC ,114.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-06-10
2016-09-19,,ACTIVEOutdoors ,4210850.0 (4527.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-03-22,2016-01-18,ADP ,230.0 (6.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-01-18
2016-03-15,2016-03-07,Advance Auto Parts ,Unknown (3310.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-07
2016-04-26,2016-04-04,Advance International Marketing ,63888.0 (2068.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-04
2016-12-22,2016-03-12,ADVANTAGEHealth Solutions ,2387.0 (2287.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-03-12
2016-01-15,2014-10-01,Aegion Corporation ,2426.0 (40.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2014-10-01
2016-03-28,2016-02-22,Affinion ,2640.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-02-22
2016-12-22,2016-12-04,AFLAC ,158.0 (132.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-12-04
2016-06-20,2016-04-21,AFSLogistics LLC ,332.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-21
2016-05-05,2016-04-01,Ag Perspective Inc ,220.0 (5.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-01
2016-11-18,,Allstate Insurance Company ,1109.0 (6.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,
2016-07-12,2016-04-24,American Associationforthe Advancementof Science ,1164.0 (17.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-24
2016-07-22,2016-04-23,American Collegeof Emergency Physicians ,Unknown (3.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-23
2016-08-04,2016-04-22,American Societyof Safety Engineers ,286.0 (15.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-22
2016-06-16,2016-05-18,Ameriprise Financial Inc ,1222.0 (5.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-05-18
2016-06-14,2016-04-28,Ameriprise Financial Inc ,404.0 (2.0 in Indiana),Indiana,https://www.in.gov/attorneygeneral/2874.htm,2016-04-28
