Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Type,Individuals Affected,Name of Entity,Type of Breach,State Reported
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",03/13/19,03/06/19,02/09/2019-02/21/19,Other Commercial ,684(1 in Maine),"James Perse Enterprises, Inc.",,Maine
Social Security Number ,3/14/2019,11/14/2018,9/1/2018 - 11/15/2018,Other Commercial ,811(2 in Maine),"Yaculta Companies, Inc.",,Maine
,3/15/19,02/21/19,01/27/19-02/03/19,Other Commercial ,3097(5 in Maine),"j2 Cloud Services, LLC",Possible credential stuffing attack,Maine
Social Security Number ,3/12/2019,6/14/2018,1/8/18 - 8/7/18,Other Commercial ,"42,366(2 in Maine)",ABM Industries Incorporated,,Maine
Social Security Number ,"March 12, 2019","February 22, 2019","January 9, 2019",Educational ,146(1 in Maine),University of Mary,Phishing email,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","February 7 - March 13, 2019",1/30/19,1/30/19,Other Commercial ,230(2 in Maine),Harland Clarke Corp.,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",3/11/2019,11/05/2018,06/05/2018 - 10/23/2018,Other Commercial ,450(2 in Maine),Stair Galleries & Restoration Inc.,Phishing email compromise,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",03/08/2019,12/14/2018,08/10/2018,Not-for-Profit ,89(3 in Maine),Discipleship Ministries,,Maine
Social Security Number ,"March 8, 2019","Nov. 27, 2018","May 9-17, 2018",Health Care ,6314(25 in Maine),Emerson Hospital,Unauthorized disclosure by employee of vendor,Maine
Social Security Number ,"Beginning on March 7, 2019","February 5, 2019","January 26, 2019 - February 5, 2019",Other Commercial ,Approximately 214(Approximately 14 in Maine),Equifax Information Services LLC,Please see attached letter.,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",3/8/19,1/31/19,6/11/18 to 2/26/19,Educational ,5600(20 in Maine),"OnCourse Learning Corporation, a predecessor-in-interest to Relias LLC",,Maine
Social Security Number ,03/06/2019,01/25/2019,01/25/2019,Not-for-Profit ,"4,217(1 in Maine)",Young Men's Christian Association of Greater Indianapolis,,Maine
Social Security Number ,3/6/2019,10/16/2018,8/6/2018 - 10/16/2018,Other Commercial ,9064(1 in Maine),"Volt Information Sciences, Inc.",,Maine
Social Security Number ,2/28/2019,1/22/2019,5/9/2018-5/17/2018,Health Care ,44765(4 in Maine),Rush,Vendor unauthorized disclosure,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",3/4/2019,12/18/2018,11/01/2018 - 11/21/2018,Other Commercial ,1268(2 in Maine),"TEMPU, Inc.",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",03/08/2019,01/18/2019,01/16/2019-01/18/2019,Other Commercial ,40(1 in Maine),"Cocktail Kingdom, LLC",,Maine
Social Security Number ,2/25/19,10/18/18,10/18/18,Financial Services ,1098(2 in Maine),"DiPardo Eremic & Co., P.C.",Unconfirmed access to tax preparation software,Maine
Social Security Number ,"March 1, 2019",01/31/2019,01/08/2019,Not-for-Profit ,8716(39 in Maine),American Cancer Society,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",12/13/2018-1/10/2019,9/24/2018,8/13/2018,Other Commercial ,10953(36 in Maine),NEWEGG COMPUTER,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",4/20/2017-12/31/2018 (unable to verify exact date in range),4/20/2017,4/13/2017,Other Commercial ,2543(1 in Maine),Forever 21,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/10/2019,12/18/2018,8/27/2018,Other Commercial ,544(1 in Maine),Caribou Coffee Company,,Maine
,2/22/2019,1/30/2019,1/30/2019,Health Care ,9319(433 in Maine),"Direct Scripts, Inc.",,Maine
Social Security Number ,"Approximately March 4, 2019",2/13/19,2/11/19-2/13/19,Other Commercial ,"2,497(1 in Maine)",Bamboo HR LLC,,Maine
,2/28/2019,2/11/2019,See Exhibit 1,Other Commercial ,1.9 Million(unknown in Maine),"ShareThis, Inc.",,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","February 25, 2019","March 2, 2018","February 28, 2018",Financial Services ,7043(9 in Maine),Phillip Capital Inc.,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",02/27/2019,10/19/2018,05/05/2018,Educational ,4492(3 in Maine),Florida Keys Community College,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",1/17/2019,8/2/2018,6/2/2017,Other Commercial ,322(2 in Maine),Futureceuticals,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",11/12/2018-1/17/2019,11/12/2018,5/2/2018,Other Commercial ,459(6 in Maine),AETREX WORLDWIDE,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","February 25, 2019","January 16, 2018","August 15, 2018 to February 4, 2018",Other Commercial ,14868(2 in Maine),"Evergreen Alliance Golf Limited, L.P.",,Maine
Social Security Number Driver's license number or non-driver identification card number ,"February 21-22, 2019","December 24, 2018","August 20-27, 2018",Health Care ,"326,629(338 in Maine)",UConn Health,Phishing,Maine
Social Security Number ,02/25/2019,"October 10, 2018",,Financial Services ,1098(2 in Maine),"DiPardo Eremic & Co., P.C.",Undetermined,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",9/17/2018-1/24/2019,9/7/2018,6/5/2018,Other Commercial ,32(1 in Maine),Abundant Health,,Maine
,2/25/2019,1/29/2019,1/1/2019,Other Commercial ,11 million(unknown in Maine),Armor Games Inc.,,Maine
Social Security Number ,02/22/2019,08/02/2018,07/24/2018-08/02/2018,Other Commercial ,1872(1 in Maine),"Welk Resort Group, Inc.",See Exhibit 1.,Maine
Social Security Number ,"February 22, 2019","January 27, 2019","January 11 - 16, 2019",Other Commercial ,62(1 in Maine),Broadstone Real Estate LLC,,Maine
Social Security Number Driver's license number or non-driver identification card number ,2/26/19,1/30/19; 1/31/19,On or before 1/30/19; 1/31/19,Other Commercial ,4(4 in Maine),Intuit Inc.,Outside individual(s) who previously obtained customer credentials to access Intuit customers' accounts.,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",2/20/19,9/27/18 and 10/31/18,3/23/17-10/31/18,Other Commercial ,539(34 in Maine),"Control Consultants, Inc.",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",02/21/2019,01/18/2019,5/28/2018 – 6/13/2018; 6/15/2018-7/12/2018; 7/20/2018-8/13/2018; 8/22/2018 – 1/18/2019,Other Commercial ,"2,540(4 in Maine)",Rennline Automotive,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",2/21/2019,1/9/2019,1/1/2018 - 1/9/2019,Other Commercial ,"2,437(17 in Maine)","Direct Distributors, Inc.",,Maine
Social Security Number Driver's license number or non-driver identification card number ,02/20/2019,12/7/2018,10/19/2018,Other Commercial ,16(1 in Maine),"Heifer International c/o Data Facts, Inc.",Email phishing event.,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","February 22, 2019","December 26, 2018","November 18, 2018 to January 9, 2019",Other Commercial ,5700(30 in Maine),"The Topps Company, Inc.",,Maine
Social Security Number ,"January 28, 2019","January 23, 2019","January 8, 2019",Educational ,1(1 in Maine),Nelnet Inc.,,Maine
Social Security Number ,2/14/19,1/30/19,2012,Educational ,"2,400(5 in Maine)",Middle Tennessee School of Anesthesia,vulnerability potentially permitting external unauthorized access,Maine
Social Security Number Driver's license number or non-driver identification card number ,02/19/2019,01/14/2019,09/08-09/24/2018; 10/05/2018; and 10/14-10/15/2018,Educational ,3926(47 in Maine),Wentworth Institute of Technology,Phishing Incident,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","February 15, 2019","January 8, 2019","July 3, 2018-January 30, 2019",Other Commercial ,"9,626(27 in Maine)",Hourlgass,,Maine
"Social Security Number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ","February 15, 2019","December 26, 2018","September 6, 2018-November 29, 2018",Financial Services ,564(3 in Maine),"FirstLease, Inc",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",02/15/2019,12/14/2018,09/01/2018-09/23/2018,Other Commercial ,Unknown(Unknown in Maine),"Print EZ, Inc.",,Maine
Social Security Number ,2/15/2019,1/29/2019,09/22/2018 - 11/29/2018,Other Commercial ,"1,142(4 in Maine)",Stanadyne LLC,,Maine
Social Security Number ,11/13/2018 and 2/6/2019,9/17/2018,7/6/2018,Other Commercial ,"134,496(798 in Maine)","Pharmacy Times Office of Continuing Professional Education (""PTCE"")",Data file security misconfiguration,Maine
"Social Security Number Driver's license number or non-driver identification card number Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",02/06/2019,01/10/2019,05/11/2018 - 08/31/29018,Other Commercial ,81(1 in Maine),Akwa Vista LLC,Phishing Incident,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",02/14/19,11/08/18 – 01/03/19,02/02/18 – 11/20/18,Other Commercial ,"18,957(See Exhibit 1 in Maine)",North 40 Outfitters,,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code,  password, or PIN for the account ",2/14/2019,1/17/2019,11/13/2018,Other Commercial ,"56,102(188 in Maine)","Five Below, Inc.",,Maine
