Name of Entity,Dates of Breach,Type of Breach,Individuals Affected,State Reported,Start Date of Breach
"Fast Forward Academy, LLC",1/5/2015,unauthorized access,375 (in Maryland),Maryland,2015-01-05 00:00:00
"Fast Forward Academy, LLC",1/5/2015,unauthorized access,375 (in Maryland),Maryland,2015-01-05 00:00:00
Art of Tea,1/5/2015,cyber attack, (in Maryland),Maryland,2015-01-05 00:00:00
Art of Tea,1/5/2015,cyber attack, (in Maryland),Maryland,2015-01-05 00:00:00
ValuePetSupplies.com,1/7/2015,malware, (in Maryland),Maryland,2015-01-07 00:00:00
CoreLogic Credco,1/7/2015,unauthorized third party fraudulently obtained credentials to obtain access to the credit report ordering system,2 (in Maryland),Maryland,2015-01-07 00:00:00
ValuePetSupplies.com,1/7/2015,malware, (in Maryland),Maryland,2015-01-07 00:00:00
ValuePetSupplies.com,1/7/2015,malware, (in Maryland),Maryland,2015-01-07 00:00:00
ValuePetSupplies.com,1/7/2015,malware, (in Maryland),Maryland,2015-01-07 00:00:00
Charlotte Russe,1/7/2015,seasonal employee improperly accessed and used customer information,3 (in Maryland),Maryland,2015-01-07 00:00:00
ValuePetSupplies.com,1/7/2015,malware, (in Maryland),Maryland,2015-01-07 00:00:00
Innotrac,1/7/2015,seasonal employee improperly accessed and used customer information,3 (in Maryland),Maryland,2015-01-07 00:00:00
"Coulter Ventures, LLC D/B/A Rogue Fitness",1/7/2015,email attachment sent by customers publicly accessible on the internet,1 (in Maryland),Maryland,2015-01-07 00:00:00
Function Point Productivity Software,1/8/2015,employee&#39;s account accessed by unauthorized individual,1 (in Maryland),Maryland,2015-01-08 00:00:00
Aetna (Security Breach),1/8/2015,unauthorized access by former employee,6 (in Maryland),Maryland,2015-01-08 00:00:00
Aetna (Security Breach),1/8/2015,unauthorized access by former employee,6 (in Maryland),Maryland,2015-01-08 00:00:00
Direct Marketing Association,1/8/2015,unauthorized access (malware) to payment card info in online bookstore, (in Maryland),Maryland,2015-01-08 00:00:00
Aetna (Security Breach),1/8/2015,unauthorized access by former employee,6 (in Maryland),Maryland,2015-01-08 00:00:00
"Valpast Supply Services, Inc.",1/13/2015,improper access by former temporary employee,16 (in Maryland),Maryland,2015-01-13 00:00:00
Onestop parking,1/14/2015,hacking, (in Maryland),Maryland,2015-01-14 00:00:00
"Barbecue Renew, Inc.",1/16/2015,hackers, (in Maryland),Maryland,2015-01-16 00:00:00
"Citizens Financial Group, Inc.",1/16/2015,fraudulent representation,3 (in Maryland),Maryland,2015-01-16 00:00:00
"Citizens Financial Group, Inc.",1/16/2015,fraudulent representation,3 (in Maryland),Maryland,2015-01-16 00:00:00
"Citizens Financial Group, Inc.",1/16/2015,fraudulent representation,3 (in Maryland),Maryland,2015-01-16 00:00:00
Columbia Management,1/20/2015,error during website upgrade,2 (in Maryland),Maryland,2015-01-20 00:00:00
Aventura Hospital and Medical Center,1/20/2015,improper access by hospital employee,2 (in Maryland),Maryland,2015-01-20 00:00:00
"Citibank, N.A.",1/20/2015,ssn inadvertently contained in the address line, (in Maryland),Maryland,2015-01-20 00:00:00
"Ascensus, Inc.",1/26/2015,info inadvertently sent to external financial advisor,5 (in Maryland),Maryland,2015-01-26 00:00:00
