Dates of Breach,End Date of Breach,Individuals Affected,Link to PDF,Name of Entity,Reported Date,Source(s),Start Date of Breach,State Reported
04/02/2019-04/02/2019,2019-04-02 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-LEGAL-40716856v1-MT-Notice-Packet-4-15-19.pdf,Intuit Inc,2019-04-15 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-04-02 00:00:00,Montana
03/08/2019-03/15/2019,2019-03-15 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Merrick-Bank-Consumer-Notification-Letter-FINAL.pdf,Merrick Bank,2019-04-12 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-03-08 00:00:00,Montana
02/26/2019-02/26/2019,2019-02-26 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Gaming-Arts-Notice-of-Data-Event-MT.pdf,Gaming Arts LLC,2019-04-12 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-02-26 00:00:00,Montana
04/05/2019-04/05/2019,2019-04-05 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Flywheel-Template-C1.pdf,Flywheel Exchange,2019-04-12 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-04-05 00:00:00,Montana
04/05/2019-04/05/2019,2019-04-05 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Imbio-Template-C1.pdf,Imbio LLC,2019-04-12 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-04-05 00:00:00,Montana
04/05/2019-04/05/2019,2019-04-05 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Inveshure-Template-C1.pdf,Invenshure,2019-04-12 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-04-05 00:00:00,Montana
02/07/2019-02/13/2019,2019-02-13 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-MT-AG-Notification-Ltr.pdf,The Hartford Financial Services Group,2019-04-12 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-02-07 00:00:00,Montana
03/27/2019-03/27/2019,2019-03-27 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Dakota-County-Montana-Regulatory-Notification-Letter.pdf,"Dakota County, Minnesota",2019-04-12 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-03-27 00:00:00,Montana
01/20/2019-01/20/2019,2019-01-20 00:00:00,1 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-AG-MT-Notification-Letter.pdf,Riverplace Counseling Center,2019-04-11 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2019-01-20 00:00:00,Montana
09/20/2018-09/20/2018,2018-09-20 00:00:00,2 in Montana,https://media.dojmt.gov/wp-content/uploads/CON-Heritage-Benefits-Consumer-Notification-Letter.pdf,Acrisure Heritage Insurance Agency,2019-04-10 00:00:00,https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#,2018-09-20 00:00:00,Montana
