Link to PDF,Dates of Breach,Name of Entity,State Reported,Source(s),Start Date of Breach,End Date of Breach
https://www.doj.nh.gov/consumer/security-breaches/documents/aarons-20111018.pdf,October 18 2011,"Aaron's, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2011-10-18 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20180308.pdf,"March 08, 2018",ABM Industries Inc.,New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-03-08 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abm-20171114.pdf,"November 14, 2017","ABM Industries Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-11-14 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140929.pdf,"September 29, 2014",AB Acquisition LLC (Shaw's) ,New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-09-29 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140829.pdf,"August 29, 2014",AB Acquisition LLC (Shaw's) ,New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-08-29 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ab-acquisition-20140815.pdf,"August 15, 2014","AB Acquisition LLC (Shaw's), ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-08-15 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abb-20170911.pdf,"September 11, 2017","ABB, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-09-11 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-laboratories-20190205.pdf,"February 5, 2019","Abbott Laboratories,  ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2019-02-05 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-medical-20100201.pdf,"February 01, 2010","Abbott Medical Optics Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2010-02-01 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-nutition-20170223.pdf,"February 23, 2017","Abbott Nutrition, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-02-23 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abc-carpet-home-20171009.pdf,"October 09, 2017","ABC Carpet and Home, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-10-09 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abc-bus-20180302.pdf,March 02. 2018,"ABC Bus Companies, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-03-02 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abc-phones-20180413.pdf,"April 13, 2018","ABC Phones of North Carolina, Inc. dba Victra, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-04-13 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abel-womack-20160309.pdf,"March 09, 2016","Abel Womack, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-03-09 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abeles-20180213.pdf,"February 13, 2018","Abeles & Hoffman, PC, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-02-13 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abercrombie-fitch-20150415.pdf,"April 15, 2015","Abercrombie & Fitch, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-04-15 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/abilene-telco-fcu-20111010.pdf,"October 10, 2011","Abilene Telco FCU, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2011-10-10 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/academy-of-art-20160412.pdf,"April 12, 2016","Academy of Art University, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-04-12 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/academy-nutrition-dietetics-20160802.pdf,"August 02, 2016","Academy of Nutrition and Dietetics, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-08-02 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/ace-surgical-supply-20150915.pdf,"September 15, 2015","Ace Surgical Supply, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-09-15 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/acer-service-20160603.pdf,"June 03, 2016","Acer Service Corporation, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-06-03 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/accucom-20120222.pdf,"February 22, 2012","Accucom Corporation, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2012-02-22 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/acosta-20141212.pdf,"December 12, 2014","Acosta, Inc. (Mosaic Sales Solutions US Operating Co. LLC), ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-12-12 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/acquis-consulting-20181220.pdf,"December 20, 2018","Acquis Consulting Group LLC,   ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-12-20 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/acronis-20160304.pdf,"March 04, 2016","Acronis, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-03-04 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/actelis-networks-20131213.pdf,"December 13, 2013","Actelis Networks, Inc. ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2013-12-13 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/actifio-20160302.pdf,"March 02, 2016","Actifio, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-03-02 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/active-20180223.pdf,"February 23, 2018","ACTIVE Network, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-02-23 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/activeoutdoors-20160919.pdf,"September 19, 2016","ACTIVEOutdoors, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-09-19 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/acumentrics-20120611.pdf,"June 11, 2012","Acumentrics Corporation, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2012-06-11 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/adf-20170412.pdf,"April 12, 2017","ADF International, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-04-12 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/adobe-systems-20131002.pdf,"October 02, 2013","Adobe Systems, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2013-10-02 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/adopt-a-highway-20181203.pdf,"December 03, 2018","Adopt A Highway Maintenance Corporation, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-12-03 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/advance-auto-20150315.pdf,"March 15, 2016","Advance Auto Parts, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-03-15 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/advanced-data-processing-20121128.pdf,"November 28, 2012","Advanced Data Processing, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2012-11-28 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/advanced-graphic-20180201.pdf,"February 01, 2018","Advanced Graphic Products, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-02-01 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/advancepierre-20111006.pdf,"October 06, 2010","AdvancePierre Foods, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2010-10-06 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/advantage-funding-20140926.pdf,September 26 2014,"Advantage Funding Company, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2014-09-26 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/advisory-reearch-20171024.pdf,"October 24, 2017","Advisory Research, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2017-10-24 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/advocate-medical-group-20130823.pdf,"August 23, 2013","Advocate Medical Group, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2013-08-23 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/aegis-20111220.pdf,"December 20, 2011","Aegis Sciences Corporation, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2011-12-20 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-international-20150603.pdf,"June 03, 2015","AeroGrow International, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-06-03 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-20150709.pdf,"July 09, 2015","AeroGrow International, Inc., ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2015-07-09 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/aerserv-20181206.pdf,"December 02, 2018","AerServ, owned by InMobi, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2018-12-02 00:00:00,
https://www.doj.nh.gov/consumer/security-breaches/documents/aetna-20161229.pdf,"December 29, 2016","Aetna, ",New Hampshire,https://www.doj.nh.gov/consumer/security-breaches/,2016-12-29 00:00:00,
