Dates of Breach,Name of Entity,State Reported,Source(s),Start Date of Breach,End Date of Breach
"APRIL 8, 2019",Earl Enterprises,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-04-08 00:00:00,
"APRIL 8, 2019",Earl Enterprises,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-04-08 00:00:00,
"APRIL 8, 2019",Earl Enterprises,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-04-08 00:00:00,
"APRIL 8, 2019",Earl Enterprises,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-04-08,
"APRIL 1, 2019",Facebook | Facebook Lite | Instagram,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-04-01,
"MARCH 26, 2019",Sizmek,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-03-26,
"MARCH 18, 2019",Citrix,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-03-18,
"MARCH 4, 2019",Topps,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-03-04,
"MARCH 4, 2019",TurboTax,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-03-04,
"FEBRUARY 19, 2019",Millions of Stolen Accounts From Multiple Websites for Sale on the Dark Web,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-02-19,
"FEBRUARY 19, 2019",VFEmail,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-02-19,
"FEBRUARY 13, 2019",Houzz,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-02-13,
"JANUARY 28, 2019",Oklahoma Department of Securities,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-01-28,
"JANUARY 28, 2019",Online Casino Groups,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-01-28,
"JANUARY 28, 2019",MEGA Cloud Storage Service,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-01-28,
"JANUARY 15, 2019",OXO,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-01-15,
"JANUARY 15, 2019",Update: Marriott,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-01-15,
"JANUARY 8, 2019",Town of Salem,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-01-08,
"JANUARY 2, 2019",Caribou Coffee,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2019-01-02,
"DECEMBER 26, 2018",Facebook API,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-12-26,
"DECEMBER 11, 2018",Quora,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-12-11,
"DECEMBER 11, 2018",Marriott,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-12-11,
"DECEMBER 4, 2018",US Postal Service,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-12-04,
"DECEMBER 4, 2018",Dunkin’,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-12-04,
"NOVEMBER 20, 2018",Kars4Kids,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-11-20,
"NOVEMBER 13, 2018",HSBC,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-11-13,
"OCTOBER 30, 2018",Cathay Pacific Airways,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-10-30,
"OCTOBER 24, 2018",Pentagon,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-10-24,
"AUGUST 28, 2018",Twitch,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-08-28,
"AUGUST 28, 2018",Sitter,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-08-28,
"AUGUST 28, 2018",Animoto,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-08-28,
"AUGUST 14, 2018",Jersey Mike’s Subs,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-08-14,
"AUGUST 14, 2018",Recruitmilitary.com,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-08-14,
"AUGUST 14, 2018",TCM Bank,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-08-14,
"AUGUST 14, 2018",Salesforce,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-08-14,
"JULY 17, 2018",Macy’s & Bloomingdale’s,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-07-17,
"JULY 17, 2018",Timehop,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-07-17,
"JULY 17, 2018",Fitness App Polar Flow,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-07-17,
"JUNE 12, 2018",Ticketfly,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-06-12,
"JUNE 12, 2018",PumpUp,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-06-12,
"JUNE 5, 2018",Coca-Cola,New Jersey,https://www.cyber.nj.gov/data-breach-notifications/,2018-06-05,
