Name of Entity,Dates of Breach,Reported Date,Date(s) of Discovery of Breach,Date Notice Provided to Consumers,Link,State Reported,Source(s),Start Date of Breach,End Date of Breach
T-Mobile / Experian,9/15/2015,2015-10-30 00:00:00,2015-09-15 00:00:00,2015-09-21 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1658162640,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-09-15 00:00:00,
Accuform Manufacturing Inc,6/30/2015,2015-11-03 00:00:00,2015-09-21 00:00:00,2015-10-19 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1090709165,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-06-30 00:00:00,
"HSBC Bank USA, National Association",12/7/2015 - 12/8/2015,2016-01-14 00:00:00,2015-12-10 00:00:00,2016-01-11 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/968378913,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-12-07 00:00:00,2015-12-08 00:00:00
"Landry’s, Inc., Golden Nugget Atlantic City, LLC, Golden Nugget Lake Charles, LLC, GNL Corp., GNLV C","5/4/2014 - 3/15/2015, 5/5/2015 - 12/3/2015",2016-01-29 00:00:00,2015-12-03 00:00:00,2016-01-29 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/400925438,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2014-05-04 00:00:00,2015-12-03 00:00:00
"Gyft, Inc.",10/3/2015 - 12/18/2015,2016-02-05 00:00:00,,2016-02-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1980955611,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-10-03 00:00:00,2015-12-18 00:00:00
Bay Area Chiropractic Center LLC,6/1/2015 - 8/31/2015,2016-02-23 00:00:00,2015-12-10 00:00:00,2015-12-22 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/846048661,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-06-01 00:00:00,2015-08-31 00:00:00
JB AUTOSPORTS INC,8/1/2015 - 11/9/2015,2016-03-02 00:00:00,,2016-01-08 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/278595186,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-08-01 00:00:00,2015-11-09 00:00:00
Baileys,9/25/2015 - 1/13/2016,2016-03-02 00:00:00,2016-01-11 00:00:00,,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1858625359,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-09-25 00:00:00,2016-01-13 00:00:00
"Wynden Stark, dba GQR Global Markets/City Internships",4/1/2016,2016-04-08 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-04-01 00:00:00,
"Schwaab, Inc.","1/22/2014, 8/21/2015, 11/30/2015, 2/4/2016",2016-04-11 00:00:00,2016-03-04 00:00:00,2016-04-11 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/723718409,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2014-01-22 00:00:00, 2/4/2016
Advance Auto Parts,3/7/2016,2016-04-14 00:00:00,,2016-03-16 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/156264934,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-03-07 00:00:00,
"Advanced International Marketing, Inc.",4/4/2016,2016-04-26 00:00:00,2016-04-04 00:00:00,2016-04-26 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1736295107,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-04-04 00:00:00,
Michels Corporation,4/16/2016,2016-04-27 00:00:00,2016-04-18 00:00:00,2016-04-27 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1168841632,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-04-16 00:00:00,
ProSchools,2/4/2016 - 3/16/2016,2016-05-02 00:00:00,,2016-04-15 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/601388157,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-02-04 00:00:00,2016-03-16 00:00:00
DOTERRA INTERNATIONAL LLC,3/1/2016,2016-05-02 00:00:00,,2016-04-18 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/33934682,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-03-01 00:00:00,
EqualizeRCM Systems,2/26/2016,2016-05-06 00:00:00,2016-02-29 00:00:00,2016-04-28 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1613964855,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-02-26 00:00:00,
"Puppet, Inc.",3/1/2016,2016-05-09 00:00:00,2016-04-13 00:00:00,2016-04-27 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1046511380,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-03-01 00:00:00,
"Hi-Tec Sports USA, Inc.",1/24/2016,2016-05-11 00:00:00,2016-03-11 00:00:00,"Friday, April 29, 2016
Wednesday, May 11, 2016",https://justice.oregon.gov/consumer/DataBreach/Home/Details/479057905,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-01-24 00:00:00,
Flurish Inc. dba LendUp,6/21/2012,2016-05-16 00:00:00,2016-04-01 00:00:00,2016-05-11 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/528719452,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2012-06-21 00:00:00,
Certifikid,1/25/2016 - 3/19/2016,2016-05-27 00:00:00,2016-03-25 00:00:00,2016-05-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/2108749625,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-01-25 00:00:00,2016-03-19 00:00:00
The Kroger Co,1/31/2016,2016-05-27 00:00:00,2016-04-27 00:00:00,"Tuesday, May 3, 2016
Thursday, May 5, 2016
Wednesday, May 25, 2016",https://justice.oregon.gov/consumer/DataBreach/Home/Details/1541296150,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-01-31 00:00:00,
Acer Service Corporation,5/12/2015,2016-06-14 00:00:00,2016-04-26 00:00:00,2016-06-03 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/973842675,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-05-12 00:00:00,
"Stamford Podiatry Group, PC",2/12/2016 - 4/14/2016,2016-06-20 00:00:00,2016-04-14 00:00:00,2016-05-25 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/406389200,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-02-12 00:00:00,2016-04-14 00:00:00
Hard Rock Hotel & Casino Las Vegas,10/27/2015,2016-06-27 00:00:00,2016-05-13 00:00:00,2016-06-27 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1986419373,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-10-27 00:00:00,
Noodles & Company,,2016-06-29 00:00:00,,,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1418965898,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
"Group W. Partners, LLC","12/2/2015, 6/14/2016",2016-07-07 00:00:00,2016-06-07 00:00:00,,https://justice.oregon.gov/consumer/DataBreach/Home/Details/851512423,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-12-02 00:00:00, 6/14/2016
"Joshua, Inc.","12/2/2015, 6/14/2016",2016-07-07 00:00:00,2016-06-07 00:00:00,2016-07-07 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/284058948,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-12-02 00:00:00, 6/14/2016
"PNV Restaurants, Inc.","1/13/2016, 6/8/2016",2016-07-07 00:00:00,2016-06-07 00:00:00,2016-07-07 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1864089121,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-01-13 00:00:00, 6/8/2016
"CiCi Enterprises, LP","6/30/2015, 7/19/2016",2016-07-20 00:00:00,2016-03-05 00:00:00,2016-07-19 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/161728696,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-06-30 00:00:00, 7/19/2016
Omni Hotels and Resorts,12/23/2015 - 6/14/2016,2016-07-21 00:00:00,2016-05-30 00:00:00,2016-07-08 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1741758869,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-12-23 00:00:00,2016-06-14 00:00:00
Comnet Marketing Group,4/22/2016 - 4/24/2016,2016-07-22 00:00:00,2016-04-22 00:00:00,2016-07-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1174305394,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-04-22 00:00:00,2016-04-24 00:00:00
"NLU Products, LLC","4/20/2015, 6/23/2016",2016-07-27 00:00:00,2016-06-08 00:00:00,2016-07-06 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/333720495,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-04-20 00:00:00, 6/23/2016
Banner Health,6/17/2016 - 7/7/2016,2016-08-03 00:00:00,"Thursday, July 7, 2016
Wednesday, July 13, 2016",2016-08-03 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1913750668,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-06-17 00:00:00,2016-07-07 00:00:00
"Valley Anesthesiology Consultants, Inc., d/b/a Valley Anesthesiology and Pain Consultants",3/30/2016,2016-08-12 00:00:00,2016-06-13 00:00:00,2016-08-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1346297193,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-03-30 00:00:00,
"Newkirk Products, Inc.",5/21/2016,2016-08-17 00:00:00,2016-07-06 00:00:00,2016-08-08 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/778843718,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-05-21 00:00:00,
Eddie Bauer LLC,1/2/2016 - 7/17/2016,2016-08-18 00:00:00,2016-07-15 00:00:00,2016-08-18 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1791420416,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-01-02 00:00:00,2016-07-17 00:00:00
Symphonix Life & Disability,5/28/2016,2016-08-19 00:00:00,2016-08-01 00:00:00,2016-08-19 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1223966941,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-05-28 00:00:00,
"MedAltus, LLC",5/3/2016,2016-08-24 00:00:00,2016-06-29 00:00:00,2016-07-28 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/828505265,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-05-03 00:00:00,
Michelle A. Pecora CPA P.C.,7/27/2016 - 8/2/2016,2016-08-25 00:00:00,2016-08-02 00:00:00,2016-08-08 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/261051790,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-07-27 00:00:00,2016-08-02 00:00:00
"Howard R. Jarvis, D.M.D., L.L.C. dba Southwest Portland Dental","1/30/2012, 7/30/2016",2016-08-30 00:00:00,2016-01-30 00:00:00,2016-08-30 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1841081963,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2012-01-30 00:00:00, 7/30/2016
"Kimpton Hotels & Restaurant Group, LLC",2/16/2016,2016-08-31 00:00:00,2016-07-15 00:00:00,2016-08-31 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1273628488,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-02-16 00:00:00,
"Schwan's Home Service, Inc",10/9/2015,2016-08-31 00:00:00,2016-08-01 00:00:00,2016-08-04 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/138721538,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-10-09 00:00:00,
Noble House Hotels & Resorts,"4/25/2016, 8/5/2016",2016-09-02 00:00:00,2016-08-05 00:00:00,2016-09-02 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/310713337,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-04-25 00:00:00, 8/5/2016
Asante,"8/18/2014, 7/21/2016",2016-09-09 00:00:00,"Wednesday, July 13, 2016
Thursday, July 21, 2016",2016-09-09 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1890743510,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2014-08-18 00:00:00, 7/21/2016
Asante,"8/18/2014, 7/21/2016",2016-09-09 00:00:00,2016-10-17 00:00:00,2016-12-09 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/293169941,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2014-08-18 00:00:00, 7/21/2016
"KontrolFreek, LLC",10/21/2015 - 4/7/2016,2016-09-16 00:00:00,,"Thursday, June 30, 2016
Monday, August 22, 2016",https://justice.oregon.gov/consumer/DataBreach/Home/Details/805498107,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-10-21 00:00:00,2016-04-07 00:00:00
ACTIVEOutdoors,,2016-09-19 00:00:00,2016-08-22 00:00:00,2016-09-19 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/238044632,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
New Jersey Spine Center,7/27/2016,2016-09-22 00:00:00,2016-07-27 00:00:00,2016-09-22 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1818074805,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-07-27 00:00:00,
"Jerry's Artarama NC, Inc",5/3/2016 - 7/10/2016,2016-09-29 00:00:00,2016-07-07 00:00:00,2016-07-29 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/683167855,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-05-03 00:00:00,2016-07-10 00:00:00
Rebecca Minkoff,,2016-09-29 00:00:00,2016-08-10 00:00:00,2016-09-09 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/115714380,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
Winston Dillard School District #116,"5/15/2016, 9/12/2016 - 9/13/2016",2016-10-03 00:00:00,,2016-09-19 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/732829402,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-05-15 00:00:00,2016-09-13 00:00:00
"Vera Bradley, Inc",7/25/2016,2016-10-12 00:00:00,2016-09-15 00:00:00,2016-10-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/165375927,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-07-25 00:00:00,
