Name of Entity,Link to PDF,State Reported,Source(s),Date Notice Provided to Consumers
Doctors Management Service Inc ,https://ago.vermont.gov/blog/2019/04/24/doctors-management-service-inc-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-24 00:00:00
Doctors Management Service Inc ,https://ago.vermont.gov/blog/2019/04/24/doctors-management-service-inc-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-24 00:00:00
Maine Maritime Academy ,https://ago.vermont.gov/blog/2019/04/24/maine-maritime-academy-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-24 00:00:00
Color Street ,https://ago.vermont.gov/blog/2019/04/24/color-street-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-24 00:00:00
flexPATH Strategies LLC ,https://ago.vermont.gov/blog/2019/04/24/flexpath-strategies-llc-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-24 00:00:00
Dr TY Steven Ip MD FACS ,https://ago.vermont.gov/blog/2019/04/24/dr-ty-steven-ip-md-facs-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-24 00:00:00
Union Benefit Planners ,https://ago.vermont.gov/blog/2019/04/18/union-benefit-planners-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-18 00:00:00
Union Benefit Planners ,https://ago.vermont.gov/blog/2019/04/18/union-benefit-planners-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-18 00:00:00
Union Benefit Planners ,https://ago.vermont.gov/blog/2019/04/18/union-benefit-planners-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-18 00:00:00
Union Benefit Planners ,https://ago.vermont.gov/blog/2019/04/18/union-benefit-planners-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-18
The Shubert Organization ,https://ago.vermont.gov/blog/2019/04/18/the-shubert-organization-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-18
Discover ,https://ago.vermont.gov/blog/2019/04/18/discover-sbn-to-consumers-3/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-18
2019-04-15 Intuit ,https://ago.vermont.gov/blog/2019/04/18/2019-04-15-intuit-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-18
Mountain Valley Regional Rehab Hospital ,https://ago.vermont.gov/blog/2019/04/18/mountain-valley-regional-rehab-hospital-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-18
Cincinnatus Savings and Loan ,https://ago.vermont.gov/blog/2019/04/16/cincinnatus-savings-and-loan-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-16
Jacor Enterprises LLC dba Volcano eCigs ,https://ago.vermont.gov/blog/2019/04/16/jacor-enterprises-llc-dba-volcano-ecigs-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-16
Merrick Bank ,https://ago.vermont.gov/blog/2019/04/12/merrick-bank-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-12
Alana Healthcare ,https://ago.vermont.gov/blog/2019/04/12/alana-healthcare-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-12
Wingate Wealth Advisors ,https://ago.vermont.gov/blog/2019/04/11/wingate-wealth-advisors-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-11
Wingate Wealth Advisors ,https://ago.vermont.gov/blog/2019/04/11/wingate-wealth-advisors-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-11
Canyon Bakehouse LLC ,https://ago.vermont.gov/blog/2019/04/09/canyon-bakehouse-llc-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-09
Colgate University Redacted ,https://ago.vermont.gov/blog/2019/04/09/colgate-university-redacted-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-09
Duke University ,https://ago.vermont.gov/blog/2019/04/09/duke-university-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-09
Canyon Bakehouse LLC ,https://ago.vermont.gov/blog/2019/04/09/canyon-bakehouse-llc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-09
Community College of Allegheny County ,https://ago.vermont.gov/blog/2019/04/05/community-college-of-allegheny-county-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-05
"Jobscience, Inc ",https://ago.vermont.gov/blog/2019/04/05/jobscience-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-05
"Collier Heggerness & Bronk CPA’s PS Inc., ",https://ago.vermont.gov/blog/2019/04/03/collier-heggerness-bronk-cpas-ps-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-04-03
