Reported Date,Name of Entity,Dates of Breach,State Reported,Source(s),Link to PDF,Start Date of Breach,End Date of Breach
2019-04-02 00:00:00,"Key West Hotels, LLC",02/07/2018 to 12/13/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/KeyWestHotelsLLC.2019-04-02.pdf,2018-02-07 00:00:00,2018-12-13 00:00:00
2019-03-29 00:00:00,Earl Enterprises,05/23/2019 to 03/18/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/EarlEnterprises.2019-03-29.pdf,2019-05-23 00:00:00,2019-03-18 00:00:00
2019-03-19 00:00:00,Seattle Housing Authority (update),01/07/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SeattleHousingAuthority-Updated.2019-03-22.pdf,2019-01-07 00:00:00,
2019-03-15 00:00:00,"flexPATH Strategies, LLC",12/07/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/flexPATHStrategiesLLC.2019-03-15.pdf,2018-12-07 00:00:00,
2019-03-07 00:00:00,"Columbia Surgical Specialists, P.S.",01/09/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/ColumbiaSurgicalSpecialists.2019-03-07.pdf,2019-01-09 00:00:00,
2019-02-22 00:00:00,Seattle Housing Authority,01/07/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SeattleHousingAuthority.2019-02-22.pdf,2019-01-07 00:00:00,
2019-02-20 00:00:00,University of Washington Medical Center,12/04/2018 to 01/10/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/UniversityOfWashingtonMedicalCenter.2019-02-20.pdf,2018-12-04 00:00:00,2019-01-10 00:00:00
2019-02-14 00:00:00,North 40 Outfitters,02/02/2018 to 11/20/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/North40Outfitters.2019-02-14.pdf,2018-02-02 00:00:00,2018-11-20 00:00:00
2019-02-12 00:00:00,Stanwich Mortgage Loan Trust,02/2018 to 01/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/StanwichMortgageLoanTrust.2019-02-12.pdf,2018-02-01 00:00:00,2019-01-01 00:00:00
2019-02-06 00:00:00,Pharmacy Times Office of Continuing Professional Education (update),07/06/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/PharmacyTimesOfficeOfContinuingProfessionalEducationLLCUpdated.2019-02-06_0.pdf,2018-07-06 00:00:00,
2019-01-30 00:00:00,"Image-I-Nation Technologies, Inc.",11/01/2018 to 11/5/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/Image-I-NationTechnologiesInc.2019-01-30.pdf,2018-11-01 00:00:00,2018-11-05 00:00:00
2019-01-18 00:00:00,"Pharmaca Integrative Pharmacy, LLC",07/19/2018 to 12/12/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/PharmacaIntegrativePharmacyInc.2019-01-18.PDF,2018-07-19 00:00:00,2018-12-12 00:00:00
2019-01-11 00:00:00,Caroline Kline Galland Home,12/23/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/CarolineKlineGallandHome.2019-01-11.pdf,2018-12-23 00:00:00,
2019-01-09 00:00:00,"A&A Global Imports, Inc.",08/15/2017 to 01/04/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/AandAGlobalImportsInc.2019-01-09.pdf,2017-08-15 00:00:00,2019-01-04 00:00:00
2019-01-06 00:00:00,Pharmacy Times Office of Continuing Professional Education,07/06/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/PharmacyTimesOfficeOfContinuingProfessionalEducationLLCUpdated.2019-02-06.pdf,2018-07-06 00:00:00,
2019-01-03 00:00:00,Chaplaincy Health Care,11/20/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/ChaplaincyHealthCare.pdf,2018-11-20 00:00:00,
2018-12-31 00:00:00,"Aimbridge Hospitality Holdings, LLC",06/07/2018 to 09/24/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/AimbridgeHospitalityHoldingsLLC.2018-12-31.PDF,2018-06-07 00:00:00,2018-09-24 00:00:00
2018-12-05 00:00:00,San Diego Hardware,02/05/2018 to 08/21/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SanDiegoHardware.2018-12-05.pdf,2018-02-05 00:00:00,2018-08-21 00:00:00
Unspecified,"Titan Manufacturing and Distributing, Inc.",Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TitanManufacturingAndDistributingInc.2018-12-07.pdf,Unspecified,
