Data Stolen,Date Notice Provided to Consumers,Dates of Breach,Individuals Affected,Name of Entity,State Reported,Start Date of Breach,End Date of Breach
"Cardholder's name, payment card number, expiration date, and CVV code.",2019-02-15 00:00:00,"January 3, 2019 through January 24, 2019",Unknown number of affected individuals including an unknown number of Wisconsin residents.,"North Country Business Products, Inc.",Wisconsin,2019-01-03 00:00:00,2019-01-24 00:00:00
"Name, payment card number, expiration date, and card security code.",2018-12-20 00:00:00,"Between August 28, 2018 and December 3, 2018",Unknown number of affected individuals including an unknown number of Wisconsin residents.,Caribou Coffee Co.,Wisconsin,2018-08-28 00:00:00," December 3, 2018"
"Name, payment card number, expiration date, and card security code.",2018-12-20 00:00:00,"Between August 28, 2018 and December 3, 2018",Unknown number of affected individuals including an unknown number of Wisconsin residents.,Bruegger’s Bagels,Wisconsin,2018-08-28 00:00:00," December 3, 2018"
"Name, payment card number, expiration date, and card security code.",2018-12-20 00:00:00,"Between August 28, 2018 and December 3, 2018",Unknown number of affected individuals including an unknown number of Wisconsin residents.,Coffee and Bagel Brands,Wisconsin,2018-08-28 00:00:00," December 3, 2018"
"Name, date of birth, address, phone number, email address, passport number, Starwood Preferred Guest account information, gender, arrival and departure information, reservation date, payment card numbers and payment card expiration dates.",2018-11-30 00:00:00,Since 2014,Approximately 500 million affected individuals including an unknown number of Wisconsin residents.,Marriott International,Wisconsin,Since 2014,
"Name, date of birth, address, sex, last four digits of the Social Security number, expected income, tax filing status, immigration document types and numbers, employer, insurance plan, premium, and dates of coverage.",2018-11-07 00:00:00,"October 16, 2018","75,000 affected individuals including an unknown number of Wisconsin residents.",Healthcare.gov,Wisconsin,2018-10-16 00:00:00,
"Name, date of birth, Social Security number, address, hire date, termination date, and 401K contribution information.",2018-11-02 00:00:00,"May 23, 2018","Approximately 19,000 affected individuals including approximately 600 Wisconsin residents.","Five Guys Holdings, Inc.",Wisconsin,2018-05-23 00:00:00,
"Name, address, date of birth, and financial account number.",2018-10-08 00:00:00,April 2018,Unknown number of affected individuals including an unknown number of Wisconsin residents.,Roadrunner Transportation Systems,Wisconsin,April 2018,
"Name, phone number, email address, account number, account type, and billing zip code.",2018-08-23 00:00:00,"August 20, 2018",Unknown number of affected individuals including an unknown number of Wisconsin residents.,T-Mobile USA Inc.,Wisconsin,2018-08-20 00:00:00,
"Name, Social Security number, Driver’s license number, date of birth, address, telephone number, email address, medical and health plan numbers, license plate numbers, fingerprints, full-face photos and more.",2018-08-10 00:00:00,"January 1, 2013 through March 28, 2018","258,120 affected individuals, an unknown number of these individuals are Wisconsin residents.","Adams County, WI",Wisconsin,2013-01-01 00:00:00,2018-03-28 00:00:00
"Name, address, date of birth, Social Security number, driver’s license number, payment card, and bank account numbers, medical record numbers, insurance, medical, treatment, and surgical information, diagnoses, lab results, medications, providers, and dates of service.",2018-07-30 00:00:00,"March 14, 2018 through April 3, 2018","Approximately 1.4 million individuals affected, an unknown number of these individuals are Wisconsin residents.",UnityPoint Health,Wisconsin,2018-03-14 00:00:00,2018-04-03 00:00:00
"Name, address, telephone number, email address, and Social Security number.",2018-07-13 00:00:00,"April 20, 2018 through May 22, 2018","662,000 including 12,155 Wisconsin residents.","ComplyRight, Inc.",Wisconsin,2018-04-20 00:00:00,2018-05-22 00:00:00
First and last names; full addresses; phone numbers; email addresses; birthdays (not including year); and debit and credit card numbers with expiration dates.,2018-07-03 00:00:00,"April 26, 2018",Unknown – it is undetermined at this time the number of individuals affected by this breach.,Macy's Inc.,Wisconsin,2018-04-26 00:00:00,
"First name, last name, Social Security number, address, date of birth, phone number, email address, health insurance information, diagnoses, prescription information, and client identification number.",2018-06-22 00:00:00,"January 14, 2018",Approximately 450 Wisconsin residents.,"Manitowoc County, WI",Wisconsin,2018-01-14 00:00:00,
"Names, addresses, and Social Security numbers.",2018-06-20 00:00:00,First week of May 2018,"3,332 affected individuals including 9 Wisconsin residents.",Educational Employees' Supplementary Retirement System of Fairfax County,Wisconsin,First week of May 2018,
"Name, address, date of birth, Social Security number, and for some, limited health information.",2018-06-07 00:00:00,"April 8, 2018","3,731 affected individuals, according to RISE Wisconsin the majority of these individuals are Wisconsin residents.",RISE Wisconsin Inc.,Wisconsin,2018-04-08 00:00:00,
"Names, driver's license numbers, and Social Security numbers.",April 2018,"March 23, 2018","Approximately 16,500 borrowers (unknown if any Wisconsin residents are affected).",Access Group Education Lending,Wisconsin,2018-03-23 00:00:00,
"Social Security Numbers, dates of birth, medical record numbers, treatment & surgical information, insurance, and other financial information.",2018-04-16 00:00:00,"November 1, 2017 through February 7, 2018","Approximately 16,000 individuals affected, an unknown number of these individuals are Wisconsin residents.",UnityPoint Health,Wisconsin,2017-11-01 00:00:00,2018-02-07 00:00:00
Payment card information.,2018-04-05 00:00:00,"September 27 - October 12, 2017","An unknown number of Best Buy customers, whether or not they used the computer chat support.","Best Buy Co., Inc.",Wisconsin,September 27," October 12, 2017"
"Name, address, payment card number, CVV number, and expiration date.",2018-04-04 00:00:00,"September 26, 2017 - October 12, 2017",Unknown number of affected individuals.,Delta Airlines and [24]7.ai,Wisconsin,2017-09-26 00:00:00," October 12, 2017"
Payment card information.,2018-04-04 00:00:00,"September 27 - October 12, 2017","Less than 100,000 customers who completed an online order on Sears.com or Kmart.com.",Sears Holding Corp.,Wisconsin,September 27," October 12, 2017"
"Laptop which may have contained names, addresses, dates of birth, Medicaid numbers, financial information, and Social Security numbers.",2018-04-03 00:00:00,"February 5, 2018",779 IRIS Program participants.,"The Management Group working as a consultant for the Wisconsin Department of Health Services IRIS (Include, Respect, I Self-Direct) Program",Wisconsin,2018-02-05 00:00:00,
Payment card data,2018-04-01 00:00:00,Unknown,"Consumers who used credit or debit cards to make purchases at certain Saks Fifth Avenue, Saks OFF 5TH, and Lord & Taylor stores in North America. There are no indications that it affected their e-commerce platform.","Hudson's Bay Company dba Saks Fifth Avenue, Saks OFF 5TH, and Lord & Taylor",Wisconsin,Unkno,
"Usernames, email addresses, and hashed passwords",2018-03-29 00:00:00,Late February 2018,Approximately 150 million user accounts.,UnderArmour dba MyFitnessPal,Wisconsin,Late February 2018,
"Name, home address and Social Security number.",2018-02-22 00:00:00,"February 1, 2018","1,758 Wisconsin residents who were members of the UW-Superior Alumni Association.",UW-Superior Alumni Association,Wisconsin,2018-02-01 00:00:00,
Payment card number and CVV.,2018-01-31 00:00:00,"Between October 3rd and December 22nd, 2017",Three Wisconsin residents who used the travel rewards redemption program were affected by the breach.,Travelocity,Wisconsin,October 3rd," December 22nd, 2017"
"Names, Social Security numbers, dates of birth, positions, grades, duty stations, alien registration numbers, email addresses, phone numbers and addresses.",2017-12-28 00:00:00,"May 10, 2017","Approximately 246,167 current and former federal government employees who were employed directly by DHS during 2014 as well as subjects, witnesses and complainants who were both DHS employees and non-DHS employees.The number of Wisconsin residents who were impacted is unknown.",The Department of Homeland Security,Wisconsin,2017-05-10 00:00:00,
"Names, addresses, dates of birth and drivers license numbers.",2017-12-08 00:00:00,"November 20, 2017",Between 980 and 1000 Wisconsin residents who were registered voters with the Village of Nashotah.,Village of Nashotah,Wisconsin,2017-11-20 00:00:00,
"Patients’ names, home addresses, dates of birth, medical record numbers, health insurance information, date(s) of service, surgical information, diagnosis/condition, and/or treatment information. A limited number of Social Security numbers and bank account information.",2017-11-17 00:00:00,"Between July 21 and July 28, 2017","7,289 Wisconsin residents who were patients of the Medical College of Wisconsin during the time of the breach.",Medical College of Wisconsin,Wisconsin,July 21," July 28, 2017"
"Names, addresses and Social Security numbers.",2017-11-15 00:00:00,"October 18, 2017",An unknown number of Wisconsin residents who are current or former employees of Saris Cycling Group.,Saris Cycling Group,Wisconsin,2017-10-18 00:00:00,
"Names, phone numbers, email addresses and, in some cases, driver license numbers.",2017-11-22 00:00:00,October 2016,"2,703 Wisconsin residents who were employees of Uber during the time of the breach.",Uber Technologies Inc.,Wisconsin,October 2016,
Social Security numbers.,2017-10-31 00:00:00,"May 15, 2017",Three Wisconsin residents who were customers of HBO during the time of the breach.,"Home Box Office, Inc. (HBO)",Wisconsin,2017-05-15 00:00:00,
"Name, date of birth, e-mail address, and child name and date of birth (if provided).",2017-10-30 00:00:00,"October 18, 2017",500 Wisconsin residents who had Kimberly-Clark brand online accounts during the time of the breach.,Kimberly-Clark,Wisconsin,2017-10-18 00:00:00,
"W-2 statement including name, address, Social Security number, and wages.",2017-10-13 00:00:00,"October 5, 2017",475 current and former employees of Beer Capitol Distributing who received a W-2 for 2016.,Beer Capitol Distributing,Wisconsin,2017-10-05 00:00:00,
